beta,ctprime,yaw,ct,an,dPstar,us,A4,u4,v4,success
0.01,14.263157894736842,0.6108652381980153,1.193152068138114,0.6469180350798186,0.018935533367912014,1.0187595725860819,2.1253150691439764,0.13608702892151162,-0.17109097781881918,true
0.01,14.263157894736842,0.7853981633974483,1.157099146614865,0.5971972382927536,0.013379298998195172,1.0132909740031422,1.5927527397999455,0.17882534857619975,-0.20454816329554085,true
0.01,15.836842105263157,-0.7853981633974483,1.1703187145075051,0.6155562725630873,0.013929241698215397,1.0138335580363005,1.6326136687097539,0.16650771396570563,0.20688507467219627,true
0.01,15.836842105263157,-0.6108652381980153,1.2035664253363423,0.6634603650825327,0.01954476451104927,1.0193574098531506,2.1694236773178024,0.12707390199499963,0.17258433524855402,true
0.01,15.836842105263157,-0.4363323129985824,1.2274439912539998,0.692821484514512,0.02441674010536774,1.0241257150425946,2.6275775957995577,0.10595244899164835,0.1296850614356342,true
0.01,15.836842105263157,-0.2617993877991494,1.2443132544892685,0.7098070936059768,0.0279684729634534,1.0275879261296843,2.957505973519401,0.09477743297292987,0.08051299208847104,true
0.01,15.836842105263157,-0.08726646259971647,1.2532382347251252,0.7176171619796631,0.029836427293911748,1.0294041259867102,3.1296948062252543,0.08988362228357621,0.027306727315882778,true
0.01,15.836842105263157,0.08726646259971647,1.2532382347251303,0.7176171619796625,0.029836427293913004,1.0294041259867113,3.1296948062253582,0.08988362228357279,-0.027306727315882948,true
0.01,15.836842105263157,0.2617993877991494,1.2443132544892666,0.709807093605977,0.02796847296345214,1.0275879261296832,2.9575059735192983,0.09477743297293303,-0.08051299208847101,true
0.01,15.836842105263157,0.4363323129985824,1.2274439912539998,0.692821484514512,0.02441674010536774,1.0241257150425946,2.6275775957995577,0.10595244899164835,-0.1296850614356342,true
0.01,15.836842105263157,0.6108652381980153,1.203566425336358,0.6634603650825305,0.01954476451104984,1.0193574098531513,2.1694236773178734,0.12707390199499582,-0.17258433524856237,true
0.01,15.836842105263157,0.7853981633974483,1.1703187145075051,0.6155562725630873,0.013929241698215397,1.0138335580363005,1.6326136687097539,0.16650771396570563,-0.20688507467219627,true
0.01,17.410526315789475,-0.7853981633974483,1.1814511052681473,0.6316022879484328,0.014408178952180111,1.0143058502765887,1.6672303954326932,0.15624506520514037,0.20885302202404127,true
0.01,17.410526315789475,-0.6108652381980153,1.2124385224732863,0.6778490666601094,0.020066600401836054,1.019869207694667,2.2069608018295392,0.11957194512040045,0.17385654185187288,true
0.01,17.410526315789475,-0.4363323129985824,1.2353465809573123,0.7060910932437673,0.024946444323229507,1.024642810276009,2.664980359348395,0.09995268090871982,0.13052000600565836,true
0.01,17.410526315789475,-0.2617993877991494,1.2517999431537323,0.7224011033179255,0.028491867170650383,1.0280971424646808,2.993738652752841,0.0895669195289675,0.08099741650418739,true
0.01,17.410526315789475,-0.08726646259971647,1.2609259603744525,0.7298564410244855,0.03030842321384077,1.0298625376371442,3.1609746111064356,0.08513690110915317,0.02747423465818369,true
0.01,17.410526315789475,0.08726646259971647,1.2609259603744538,0.7298564410244854,0.030308423213841067,1.0298625376371444,3.1609746111064596,0.08513690110915265,-0.02747423465818371,true
0.01,17.410526315789475,0.2617993877991494,1.2517999431537263,0.7224011033179262,0.02849186717064831,1.028097142464679,2.993738652752668,0.08956691952897276,-0.08099741650418692,true
0.01,17.410526315789475,0.4363323129985824,1.2353465809573156,0.7060910932437668,0.02494644432322951,1.024642810276009,2.6649803593484025,0.09995268090872171,-0.13052000600565905,true
0.01,17.410526315789475,0.6108652381980153,1.2124385224732979,0.6778490666601078,0.020066600401839472,1.0198692076946703,2.2069608018298577,0.1195719451203848,-0.1738565418518842,true
0.01,17.410526315789475,0.7853981633974483,1.1814511052681473,0.6316022879484328,0.014408178952180111,1.0143058502765887,1.6672303954326932,0.15624506520514037,-0.20885302202404127,true
0.01,18.984210526315792,-0.7853981633974483,1.1910033836300524,0.6457782496011579,0.01482872874412776,1.0147203838932681,1.697522805085863,0.14755183351707324,0.2105416422444189,true
0.01,18.984210526315792,-0.6108652381980153,1.2201314641782466,0.690512920174849,0.02051849309177518,1.0203122003512912,2.2392528736322324,0.1132149886971277,0.17495965622292586,true
0.01,18.984210526315792,-0.4363323129985824,1.242312094562495,0.7177438752985604,0.025394551008483028,1.0250800466387877,2.6961948940870157,0.0948784987146823,0.1312559444864754,true
0.01,18.984210526315792,-0.2617993877991494,1.258875317848298,0.7334054232021254,0.028878950804163944,1.0284735784729246,3.018909167002096,0.08529922184864802,0.08145522696548117,true
0.01,18.984210526315792,-0.08726646259971647,1.2679672544023064,0.7405739863862538,0.030674674559100744,1.0302181075484138,3.1840340528177555,0.08116710453963365,0.027627656964210736,true
0.01,18.984210526315792,0.08726646259971647,1.2679672544023064,0.7405739863862538,0.030674674559100744,1.0302181075484138,3.1840340528177555,0.08116710453963365,-0.027627656964210736,true
0.01,18.984210526315792,0.2617993877991494,1.2588753178482992,0.7334054232021253,0.02887895080416497,1.0284735784729255,3.018909167002174,0.08529922184864626,-0.08145522696548108,true
0.01,18.984210526315792,0.4363323129985824,1.2423120945624961,0.7177438752985603,0.02539455100848369,1.0250800466387884,2.6961948940870752,0.09487849871468013,-0.1312559444864756,true
0.01,18.984210526315792,0.6108652381980153,1.220131464178061,0.6905129201748725,0.020518493091454246,1.0203122003509768,2.2392528736029687,0.11321498869903526,-0.17495965622240262,true
0.01,18.984210526315792,0.7853981633974483,1.1910033836300524,0.6457782496011579,0.01482872874412776,1.0147203838932681,1.697522805085863,0.14755183351707324,-0.2105416422444189,true
