name,ctp,yaw,ct,cp,u4,v4,an,p1,p4,dp,x0,dv,du
yaw_02_ct_07,3.2,10.0,1.0247914241746996,0.5799335505674263,0.21023230437705367,-0.0347687591450292,0.4253660340241453,0.0052271951086583675,-0.028877033246171097,-0.034104228354829465,4.600000000000001,0.0347687591450292,0.7897676956229464
yaw_02_ct_08,3.6,10.0,1.048784521588877,0.5660804460721663,0.1829997326640415,-0.03508884073197703,0.4519244539011631,0.00552393874183587,-0.035432193936916045,-0.040956132678751915,4.300000000000001,0.03508884073197703,0.8170002673359585
yaw_02_ct_09,4.0,10.0,1.067181281908027,0.5512229654539533,0.16011184950237245,-0.0351553689157451,0.47550947744906213,0.005809208386922712,-0.04080088728651488,-0.046610095673437595,4.0,0.0351553689157451,0.8398881504976276
yaw_02_ct_11,4.8,10.0,1.0955973519096158,0.5234266637222006,0.13316729251989046,-0.034941155535807705,0.5148752753119643,0.006185933306978286,-0.05161698631462642,-0.057802919621604706,3.700000000000001,0.034941155535807705,0.8668327074801095
yaw_02_ct_13,5.6,10.0,1.1157646470553149,0.49804075353630045,0.11410906883438988,-0.0349460009119351,0.5467468553703716,0.006469862539988707,-0.060007568750442115,-0.06647743129043082,3.4000000000000004,0.0349460009119351,0.8858909311656101
yaw_02_ct_15,6.4,10.0,1.1303828074933486,0.4750598510807634,0.10289117264623697,-0.034866201518990496,0.5732521657016403,0.006718779191244872,-0.06662528367555048,-0.07334406286679536,3.3000000000000007,0.034866201518990496,0.8971088273537631
yaw_02_ct_17,7.2,10.0,1.143072105495645,0.4554536552966966,0.09479048176991267,-0.03451703444468486,0.595406309151103,0.00686295635782161,-0.07272552260412855,-0.07958847896195016,3.0999999999999996,0.03451703444468486,0.9052095182300873
yaw_02_ct_19,8.0,10.0,1.152983040336836,0.43771293946609086,0.08957630863494452,-0.03489548692034735,0.614508321847687,0.0069793245844710595,-0.07724964768539472,-0.08422897226986578,3.0,0.03489548692034735,0.9104236913650555
yaw_02_ct_21,8.8,10.0,1.1625524224957646,0.42254939295392885,0.08656932962090197,-0.03895468858518072,0.6309259779266863,0.007044721278309935,-0.08210926449840857,-0.0891539857767185,2.8000000000000007,0.03895468858518072,0.913430670379098
yaw_02_ct_23,9.6,10.0,1.1693568381372659,0.4081172700708718,0.0825431278540895,-0.0443840152636823,0.6456059234576617,0.0071433032397268705,-0.08465512060364955,-0.09179842384337641,2.7,0.0443840152636823,0.9174568721459105
yaw_04_ct_00,0.4,20.0,0.2957945413088973,0.2543637605412525,0.8410195371293562,-0.026398063723547124,0.08487743251249702,0.000816763741716818,-0.000567386316287795,-0.001384150058004613,7.800000000000001,0.026398063723547124,0.15898046287064382
yaw_04_ct_01,0.8,20.0,0.5051370391578468,0.4013921067478086,0.7082855281168441,-0.04342185406559647,0.154382821025289,0.0015634803371323222,-0.001464673457096335,-0.0030281537942286572,9.200000000000001,0.04342185406559647,0.2917144718831559
yaw_04_ct_02,1.2,20.0,0.6569927213421927,0.48612752753121047,0.5954983638298693,-0.05450995165696682,0.21258471733062245,0.002210368943087408,-0.0026483030335372353,-0.004858671976624643,8.100000000000001,0.05450995165696682,0.4045016361701307
yaw_04_ct_03,1.6,20.0,0.7687571119987154,0.5328730158373728,0.5000938025176465,-0.06195718644462576,0.2623526857111089,0.0027473689051993196,-0.004836711453790042,-0.007584080358989361,5.5,0.06195718644462576,0.49990619748235354
yaw_04_ct_04,2.0,20.0,0.8517966213429675,0.5558900132099608,0.41922121013921476,-0.06649083191642229,0.3055081680569459,0.0032257097726701763,-0.008871691903215715,-0.012097401675885891,4.700000000000001,0.06649083191642229,0.5807787898607852
yaw_04_ct_05,2.4,20.0,0.9138989308641323,0.563951340155977,0.3532682111911622,-0.0692905512360058,0.3433141667158647,0.003657495426302813,-0.013676347742337043,-0.017333843168639857,4.1,0.0692905512360058,0.6467317888088377
yaw_04_ct_06,2.8,20.0,0.9605612377564164,0.5626114548281087,0.29998409863419556,-0.07090001475718032,0.37669918248331935,0.00404113940340376,-0.019182604747999616,-0.023223744151403377,3.8000000000000007,0.07090001475718032,0.7000159013658045
yaw_04_ct_07,3.2,20.0,0.9962904705713005,0.5559093458284887,0.2595511353854238,-0.07181837965411343,0.4062109527123444,0.00435671419981918,-0.025324111152995515,-0.029680825352814695,3.5,0.07181837965411343,0.7404488646145762
